Date,Open,High,Low,Close,Adj Close,Volume
2017-10-01,24.330000,32.500000,23.850000,24.790001,24.790001,98697500
2017-11-01,24.950001,27.580000,24.139999,27.080000,27.080000,55591600
2017-12-01,27.070000,31.190001,25.559999,30.400000,30.400000,50742300
2018-01-01,30.350000,32.200001,26.270000,30.309999,30.309999,64202900
2018-02-01,30.330000,30.760000,25.780001,25.799999,25.799999,51414200
2018-03-01,25.740000,25.860001,21.690001,22.150000,22.150000,63139600
2018-04-01,21.920000,22.760000,19.600000,20.820000,20.820000,71445400
2018-05-01,20.799999,23.760000,18.500000,20.730000,20.730000,100155400
2018-06-01,20.840000,21.840000,18.950001,21.520000,21.520000,121152100
2018-07-01,21.240000,22.209999,20.320000,20.700001,20.700001,72068000
2018-08-01,20.420000,23.190001,16.900000,18.790001,18.790001,80469500
2018-09-01,18.650000,19.150000,15.810000,17.719999,17.719999,69280700
2018-10-01,17.719999,18.320000,13.420000,13.870000,13.870000,80767600
2018-11-01,13.890000,20.350000,13.890000,20.309999,20.309999,97683000
2018-12-01,20.980000,22.370001,17.139999,19.670000,19.670000,82310900
2019-01-01,19.280001,24.250000,19.129999,23.570000,23.570000,91367000
2019-02-01,23.559999,23.719999,20.700001,22.389999,22.389999,79051000
2019-03-01,22.879999,25.309999,22.290001,23.799999,23.799999,63974500
2019-04-01,23.990000,25.200001,19.379999,19.660000,19.660000,70701600
2019-05-01,19.780001,20.920000,18.799999,19.590000,19.590000,69798100
2019-06-01,19.600000,21.690001,19.430000,21.370001,21.370001,54636200
2019-07-01,21.809999,22.340000,20.160000,21.270000,21.270000,44026100
2019-08-01,21.670000,23.000000,19.010000,19.850000,19.850000,66527700
2019-09-01,19.840000,20.350000,17.370001,17.680000,17.680000,47923000
2019-10-01,17.750000,18.090000,15.260000,15.450000,15.450000,60472600
2019-11-01,15.570000,16.930000,15.020000,16.629999,16.629999,56788200
2019-12-01,16.680000,19.030001,16.059999,17.620001,17.620001,64056600
2020-01-01,17.709999,20.760000,16.700001,17.200001,17.200001,74079300
2020-02-01,17.170000,22.059999,17.100000,18.590000,18.590000,72804100
2020-03-01,18.549999,19.930000,13.670000,17.219999,17.219999,83409900
2020-04-01,16.730000,27.660000,15.950000,24.700001,24.700001,102868900
2020-05-01,24.350000,27.799999,23.430000,24.709999,24.709999,67997900
2020-06-01,24.620001,24.799999,21.610001,23.740000,23.740000,58275000
2020-07-01,23.910000,25.760000,22.700001,23.090000,23.090000,46608800
2020-08-01,23.309999,23.830000,21.200001,22.219999,22.219999,35831900
2020-09-01,22.110001,27.350000,19.840000,24.450001,24.450001,50630900
2020-10-01,24.590000,25.120001,19.770000,20.480000,20.480000,38342500
2020-11-01,20.750000,23.100000,18.180000,19.160000,19.160000,44019600
2020-12-01,19.420000,21.059999,18.590000,20.070000,20.070000,48584900
2021-01-01,20.180000,25.660000,19.820000,22.209999,22.209999,55875400
2021-02-01,22.500000,23.990000,21.260000,21.660000,21.660000,39812900
2021-03-01,21.860001,24.260000,20.860001,22.590000,22.590000,42217200
2021-04-01,22.760000,25.190001,22.570000,24.620001,24.620001,30051000
2021-05-01,24.680000,25.770000,22.200001,22.549999,22.549999,35140600
2021-06-01,22.600000,23.520000,17.790001,18.219999,18.219999,57870000
2021-07-01,18.270000,18.680000,16.190001,16.850000,16.850000,47664700
2021-08-01,17.020000,19.809999,16.610001,19.170000,19.170000,48433800
2021-09-01,19.250000,21.430000,19.139999,21.139999,21.139999,38912300
2021-10-01,21.120001,22.080000,20.549999,21.510000,21.510000,29641200
2021-11-01,21.580000,22.100000,16.410000,16.790001,16.790001,45495000
2021-12-01,16.860001,19.580000,15.500000,18.280001,18.280001,41495800
2022-01-01,18.230000,19.379999,16.860001,18.100000,18.100000,44830700
2022-02-01,18.200001,20.990000,17.760000,20.530001,20.530001,48331600
2022-03-01,20.420000,22.870001,19.750000,22.670000,22.670000,44974300
2022-04-01,22.830000,23.400000,22.110001,22.340000,22.340000,34482500
2022-05-01,22.209999,23.030001,16.370001,18.330000,18.330000,78013800
2022-06-01,18.230000,22.450001,17.360001,20.820000,20.820000,59674600
2022-07-01,20.780001,22.469999,20.309999,20.920000,20.920000,41217900
2022-08-01,20.950001,22.040001,17.680000,17.740000,17.740000,50090400
2022-09-01,17.730000,18.360001,17.100000,17.139999,17.139999,14049800
